Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dade,0.00,0.00,12.94,0.00,0.00,6.33,12.60,6.24,0.00,24.80,0.00,18.04,12.06,18.14,0.00,12.25,6.17,0.00
Dawson,0.00,0.00,0.00,5.70,0.00,10.63,5.08,24.13,13.89,9.05,13.30,17.91,9.01,26.82,13.29,17.47,30.10,21.18
Decatur,0.00,0.00,0.00,0.00,0.00,7.11,3.58,3.52,7.01,6.96,6.94,3.59,0.00,0.00,14.59,7.33,11.04,11.18
DeKalb,3.90,4.21,6.45,7.97,6.60,5.25,4.88,5.36,5.86,6.08,6.16,6.50,8.02,7.05,6.01,9.13,10.37,10.27
Dodge,0.00,5.22,10.36,0.00,10.25,15.40,15.38,10.16,25.29,25.30,15.19,9.18,9.33,18.74,4.71,0.00,19.17,19.45
Dooly,0.00,0.00,0.00,8.64,8.67,17.34,8.60,17.09,0.00,0.00,0.00,0.00,0.00,6.97,0.00,7.08,0.00,7.27
Dougherty,3.12,5.20,6.24,5.22,4.19,2.10,9.46,5.26,8.39,10.49,8.35,1.06,6.32,14.80,5.36,2.16,5.48,10.00
Douglas,2.17,7.59,7.33,9.16,9.86,10.32,4.45,11.79,8.04,8.59,6.94,10.57,9.75,8.97,5.87,20.22,12.08,23.20
Early,0.00,0.00,0.00,0.00,8.22,8.31,8.32,0.00,0.00,0.00,0.00,0.00,0.00,9.42,0.00,0.00,0.00,19.34
Echols,0.00,0.00,0.00,26.16,0.00,0.00,0.00,24.31,0.00,0.00,0.00,0.00,0.00,0.00,24.76,0.00,24.72,0.00
Effingham,0.00,0.00,10.18,4.87,2.35,9.03,8.60,8.20,3.93,5.76,7.47,9.57,13.28,7.49,12.85,5.40,3.50,10.22
Elbert,9.75,19.50,4.86,4.84,0.00,19.29,19.39,14.51,9.70,34.02,9.82,4.96,15.13,5.10,25.62,20.61,20.72,10.45
Emanuel,0.00,4.58,4.59,4.61,9.15,0.00,0.00,0.00,4.43,17.41,4.33,8.85,0.00,8.75,26.32,13.23,4.41,4.42
Evans,0.00,0.00,9.25,9.04,0.00,0.00,0.00,0.00,8.78,8.63,0.00,9.09,0.00,9.38,0.00,9.24,0.00,9.37
Fannin,10.10,0.00,9.84,28.74,9.46,13.94,23.00,13.49,35.47,22.03,30.51,50.67,4.25,8.52,37.95,25.31,20.59,28.11
Fayette,2.19,3.29,3.18,5.21,6.12,9.00,6.83,4.77,7.55,6.58,11.24,9.38,10.26,3.72,7.39,12.78,15.38,7.17
Floyd,7.73,14.35,10.97,11.88,5.35,7.46,20.18,16.85,17.87,16.72,7.27,22.84,17.67,16.66,16.67,11.45,12.46,16.57
Forsyth,5.08,5.08,5.52,5.17,4.06,6.91,3.61,6.75,11.37,10.71,8.02,10.83,15.90,8.53,13.86,16.20,17.44,10.41
Franklin,4.93,0.00,4.84,19.17,0.00,18.83,13.97,9.24,9.16,9.17,32.19,27.17,27.29,18.22,18.10,35.96,31.36,22.40
Fulton,7.60,8.46,11.69,7.76,9.53,8.83,9.85,8.61,10.60,11.55,8.03,11.62,9.90,9.74,12.00,13.78,14.39,16.81
Gilmer,0.00,8.53,16.40,3.98,7.73,15.07,25.70,7.10,7.00,10.37,27.57,3.53,10.61,17.72,13.99,17.32,10.21,16.82
Glascock,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.11,71.68,35.70,0.00,32.11,0.00,0.00,0.00,0.00,0.00
Glynn,7.40,5.92,5.85,5.79,11.44,9.92,8.40,17.70,16.05,18.41,14.32,5.02,12.46,12.34,24.51,9.71,13.15,16.57
Gordon,13.60,9.07,4.39,12.88,18.93,14.39,2.02,9.82,3.85,15.10,20.64,12.68,19.83,16.17,10.77,12.54,5.33,19.33
Grady,0.00,4.23,0.00,4.21,0.00,0.00,8.25,0.00,12.04,3.99,15.88,4.00,0.00,3.94,0.00,3.96,7.96,4.03
Greene,0.00,6.94,0.00,0.00,0.00,0.00,6.49,0.00,12.71,6.34,0.00,12.50,12.43,6.18,18.42,6.07,11.95,5.88
Gwinnett,2.04,4.42,4.99,4.19,4.95,4.34,4.19,5.62,5.18,6.07,6.31,8.20,5.94,6.43,8.17,7.65,11.20,9.37
Habersham,5.57,11.14,2.70,5.33,5.24,5.17,12.72,7.34,16.60,11.63,16.05,23.23,0.00,16.10,9.24,4.58,4.55,18.08
Hall,2.87,5.74,4.09,9.22,6.41,13.15,6.66,11.64,10.62,9.20,11.19,14.47,14.76,12.44,14.41,13.67,12.42,15.26
Hancock,0.00,0.00,10.01,0.00,0.00,0.00,0.00,0.00,0.00,10.50,10.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Haralson,3.89,15.57,15.21,37.38,7.33,3.61,21.36,14.16,41.80,10.40,41.54,45.17,24.55,28.18,17.58,31.46,34.65,30.99
Harris,4.22,4.22,4.11,8.01,11.65,3.77,18.29,3.53,3.44,3.39,19.91,9.37,3.09,9.20,18.39,6.09,6.02,26.74
