,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
94,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,Twiggs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,Union,0,0,0,1 ,0,0,0,0,1 ,0,0,0,1 ,0,0,1 ,0,2 ,6 ,1
97,Upson,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,1 ,0,0,3 ,1
98,Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1
100,Wayne,0,0,0,0,1 ,1 ,0,0,0,1 ,1 ,1 ,2 ,0,5 ,1 ,2 ,0,15 ,1
101,Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1 ,0,3 ,1
104,Wilcox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
105,Wilkes,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,1
106,Wilkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,Worth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1
108,Baldwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0
109,Barrow,0,0,0,2 ,1 ,0,0,2 ,0,3 ,1 ,0,2 ,0,0,1 ,1 ,1 ,14 ,0
110,Bartow,0,1 ,1 ,1 ,0,1 ,0,0,0,0,2 ,2 ,0,2 ,1 ,1 ,0,5 ,17 ,0
111,Bibb,0,2 ,1 ,2 ,0,2 ,2 ,0,2 ,0,1 ,0,1 ,0,0,1 ,2 ,0,16 ,0
112,Bulloch,0,0,0,0,0,0,1 ,1 ,1 ,1 ,1 ,2 ,1 ,3 ,1 ,1 ,1 ,1 ,15 ,0
113,Camden,0,0,0,0,0,0,0,0,0,0,3 ,0,2 ,2 ,2 ,0,1 ,1 ,11 ,0
114,Carroll,0,0,0,0,0,2 ,0,2 ,2 ,3 ,4 ,6 ,3 ,4 ,0,2 ,3 ,5 ,36 ,0
115,Catoosa,0,0,0,1 ,1 ,0,0,0,0,1 ,0,1 ,1 ,1 ,0,1 ,0,3 ,10 ,0
116,Chatham,3 ,2 ,4 ,2 ,0,2 ,0,1 ,5 ,2 ,5 ,6 ,5 ,8 ,9 ,1 ,6 ,0,61 ,0
117,Cherokee,0,1 ,1 ,2 ,1 ,0,0,2 ,2 ,2 ,5 ,2 ,2 ,5 ,2 ,4 ,5 ,3 ,39 ,0
118,Clarke,0,0,0,0,1 ,0,1 ,1 ,1 ,2 ,2 ,0,1 ,1 ,1 ,3 ,1 ,2 ,17 ,0
119,Clayton,0,1 ,1 ,1 ,1 ,1 ,1 ,0,2 ,1 ,3 ,5 ,3 ,6 ,4 ,1 ,1 ,2 ,34 ,0
120,Cobb,10 ,14 ,10 ,9 ,3 ,0,1 ,1 ,0,2 ,2 ,0,1 ,4 ,1 ,8 ,8 ,13 ,87 ,0
121,Coffee,0,0,0,0,0,0,1 ,0,1 ,0,1 ,0,0,1 ,0,0,0,0,4 ,0
122,Colquitt,0,0,1 ,0,0,0,0,0,0,0,0,1 ,0,0,0,0,1 ,0,3 ,0
123,Columbia,0,1 ,0,0,0,0,0,0,0,0,1 ,1 ,1 ,0,1 ,0,1 ,3 ,9 ,0
124,Coweta,0,0,0,0,0,0,1 ,0,1 ,2 ,0,1 ,3 ,1 ,1 ,2 ,0,2 ,14 ,0
125,DeKalb,1 ,0,5 ,5 ,7 ,2 ,4 ,4 ,4 ,5 ,4 ,5 ,7 ,12 ,5 ,5 ,6 ,5 ,86 ,0
126,Dougherty,1 ,0,1 ,0,0,0,0,0,0,1 ,1 ,0,0,0,0,1 ,1 ,0,6 ,0
127,Douglas,0,1 ,0,0,0,1 ,0,0,1 ,1 ,0,1 ,1 ,3 ,0,1 ,1 ,1 ,12 ,0
128,Effingham,0,0,0,0,1 ,0,0,0,0,0,2 ,2 ,2 ,1 ,2 ,1 ,0,1 ,12 ,0
129,Fayette,1 ,0,0,1 ,0,1 ,1 ,0,1 ,1 ,1 ,2 ,3 ,0,1 ,0,2 ,2 ,17 ,0
130,Floyd,0,1 ,0,0,2 ,0,2 ,0,1 ,5 ,1 ,4 ,1 ,3 ,5 ,2 ,4 ,2 ,33 ,0
131,Forsyth,2 ,0,0,1 ,0,2 ,0,1 ,2 ,2 ,3 ,2 ,4 ,4 ,7 ,3 ,3 ,2 ,38 ,0
132,Fulton,11 ,8 ,12 ,5 ,15 ,11 ,9 ,15 ,5 ,12 ,6 ,11 ,8 ,13 ,10 ,8 ,17 ,21 ,197 ,0
133,Glynn,1 ,0,0,0,0,1 ,0,1 ,0,2 ,0,0,2 ,2 ,4 ,4 ,1 ,1 ,19 ,0
134,Gordon,0,1 ,0,0,1 ,0,0,0,0,0,0,0,2 ,2 ,1 ,0,0,1 ,8 ,0
135,Gwinnett,1 ,1 ,2 ,3 ,1 ,1 ,1 ,1 ,3 ,7 ,9 ,12 ,5 ,17 ,13 ,11 ,11 ,10 ,109 ,0
136,Habersham,0,0,0,0,0,0,0,0,0,0,0,2 ,0,2 ,1 ,0,0,1 ,6 ,0
137,Hall,0,1 ,0,2 ,1 ,1 ,1 ,0,0,1 ,0,1 ,0,2 ,0,2 ,0,0,12 ,0
138,Henry,0,0,2 ,0,2 ,0,0,2 ,0,0,1 ,1 ,3 ,2 ,0,4 ,1 ,0,18 ,0
139,Houston,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,1 ,0,3 ,0,0,6 ,0
140,Jackson,0,0,0,0,0,0,0,0,0,1 ,1 ,2 ,2 ,1 ,1 ,2 ,2 ,1 ,13 ,0
141,Laurens,0,0,0,0,1 ,0,0,0,0,1 ,0,1 ,1 ,0,0,1 ,0,0,5 ,0
142,Liberty,0,1 ,0,0,0,0,1 ,0,0,0,0,0,1 ,3 ,2 ,1 ,0,0,9 ,0
143,Lowndes,0,1 ,2 ,0,0,0,2 ,0,0,0,0,0,1 ,0,0,0,0,0,6 ,0
144,Murray,0,0,0,0,0,0,0,0,0,1 ,2 ,2 ,3 ,0,0,1 ,0,2 ,11 ,0
145,Muscogee,0,0,0,0,0,0,0,1 ,0,1 ,4 ,2 ,0,3 ,1 ,7 ,1 ,3 ,23 ,0
146,Newton,0,0,0,0,0,0,0,0,0,0,1 ,1 ,2 ,1 ,3 ,1 ,1 ,0,10 ,0
147,Paulding,0,0,0,1 ,0,0,0,0,1 ,4 ,1 ,3 ,1 ,2 ,1 ,5 ,3 ,5 ,27 ,0
148,Polk,1 ,0,0,1 ,0,2 ,0,0,0,0,0,0,0,1 ,2 ,0,0,1 ,8 ,0
149,Richmond,0,0,0,1 ,2 ,0,0,1 ,1 ,0,1 ,1 ,1 ,0,0,3 ,1 ,6 ,18 ,0
150,Rockdale,0,1 ,0,0,2 ,0,1 ,1 ,0,1 ,0,0,1 ,2 ,0,1 ,0,1 ,11 ,0
151,Spalding,0,0,0,0,1 ,0,0,1 ,2 ,2 ,3 ,1 ,2 ,2 ,0,1 ,1 ,1 ,17 ,0
152,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Tift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Troup,0,0,0,0,0,2 ,0,2 ,0,0,0,1 ,2 ,0,1 ,0,1 ,0,9 ,0
155,Walker,0,0,0,0,0,0,0,0,1 ,1 ,0,2 ,2 ,1 ,2 ,1 ,0,1 ,11 ,0
156,Walton,0,0,1 ,0,1 ,1 ,1 ,0,0,1 ,0,0,1 ,4 ,5 ,1 ,0,4 ,20 ,0
157,Ware,0,0,0,1 ,0,0,0,0,0,2 ,2 ,0,1 ,0,0,1 ,0,0,7 ,0
158,Whitfield,0,0,0,0,0,0,0,0,2 ,0,1 ,0,0,2 ,0,1 ,0,0,6 ,0
