,County,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
68,Oconee,0,0,0,0,2,3,1,6,0,2,2,3,8,4,4,6,3,0,44,1
69,Oglethorpe,0,0,0,0,1,1,0,0,6,1,1,2,4,5,0,2,4,0,27,1
70,Peach,0,2,2,4,0,1,2,4,0,3,3,5,2,0,4,0,4,1,37,1
71,Pickens,1,2,4,4,3,3,3,1,3,3,4,10,2,4,3,6,3,5,64,1
72,Pierce,1,1,2,1,2,2,3,2,2,4,3,1,2,1,2,7,1,5,42,1
73,Pike,3,1,0,1,0,0,1,0,2,0,1,1,3,0,1,1,2,1,18,1
74,Pulaski,1,0,1,0,1,0,0,2,2,0,0,0,1,0,4,0,0,4,16,1
75,Putnam,0,0,1,3,2,1,1,4,0,0,3,2,2,4,7,2,3,1,36,1
76,Quitman,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1
77,Rabun,1,1,1,4,2,4,0,1,4,2,6,2,4,1,3,5,3,2,46,1
78,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,Schley,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
80,Screven,0,1,0,0,1,0,0,2,3,0,0,3,0,0,0,1,1,1,13,1
81,Seminole,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,8,1
82,Stephens,1,1,3,2,3,3,2,4,8,6,6,6,7,7,3,7,6,5,80,1
83,Stewart,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,7,1
84,Sumter,0,0,1,0,1,2,1,0,2,0,0,1,0,3,1,2,1,1,16,1
85,Talbot,0,2,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,8,1
86,Taliaferro,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
87,Tattnall,2,0,1,1,2,3,2,3,1,4,2,4,3,0,1,3,6,3,41,1
88,Taylor,0,2,0,0,1,0,2,1,1,0,0,0,1,0,3,2,0,1,14,1
89,Telfair,0,2,2,0,0,0,0,1,0,3,1,2,1,0,2,1,0,2,17,1
90,Terrell,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1
91,Toombs,0,2,0,1,1,2,2,3,1,1,3,5,4,1,3,7,3,1,40,1
92,Towns,1,1,0,0,0,0,2,0,3,2,4,2,4,2,3,3,1,2,30,1
93,Treutlen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1
94,Turner,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,2,1,9,1
95,Twiggs,0,0,0,0,2,1,1,0,2,0,0,2,1,1,3,0,0,2,15,1
96,Union,1,1,1,1,1,1,1,5,1,3,0,3,3,4,4,2,4,5,41,1
97,Upson,0,0,2,1,2,2,1,3,5,2,5,3,3,7,7,6,2,2,53,1
98,Warren,0,1,0,0,1,1,1,0,2,0,0,0,0,1,1,0,0,0,8,1
99,Washington,1,2,0,4,2,0,1,3,1,0,2,2,2,0,1,2,2,3,28,1
100,Wayne,1,0,0,3,8,2,6,3,6,7,6,6,8,6,7,5,7,7,88,1
101,Webster,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
102,Wheeler,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0,7,1
103,White,0,1,0,0,2,7,3,3,3,2,2,8,5,6,8,7,4,5,66,1
104,Wilcox,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,1,3,10,1
