,County,Rural,Rehab_Count,EMS_COUNT,hospital_count,dropbox_247availability,dropbox_count,1yrlag,5yrlag,10yrlag,UR_1yrlag,UR_5yrlag,UR_10yrlag,CR_1yrlag,CR_5yrlag,CR_10yrlag,PR_1yrlag,PR_5yrlag,PR_10yrlag,BR_1yrlag,BR_5yrlag,BR_10yrlag,DR_1yrlag,DR_5yrlag,DR_10yrlag,CP_1yrlag,CP_5yrlag,CP_10yrlag,TP_1yrlag,TP_5yrlag,TP_10yrlag,ER_1yrlag,ER_5yrlag,ER_10yrlag,drug_ER_Visits_2017,teenage_pregnancy_2017,2017_children_poverty,2017_death_rate,2017_birth_rate,2017_prescription,2017_ODRate,2017ODabovenatavg
0,Appling,1,0.0,1.0,0.0,1,1,-0.03500866833333335,-0.03500866833333335,1.894973995,-0.140625,-0.5089285714285714,0.03773584905660381,-1.0,-1.0,0.0,-0.015656532740501286,-0.06551583346124339,0.04697581169389507,-0.0099211294412035,-0.09750102206442365,-0.14968347104858565,0.01486823675528492,0.25419426679501333,0.05353143271446055,0.007929500110917828,0.06641130172413795,0.24953243434343433,-0.10853050350877191,-0.33836248307291655,-0.452437917025862,0.5205795262225374,6.163731924874792,7.4469988641732305,0.004291075423000001,0.02540688065,0.371111133,0.01178254728,0.013428439859999999,1.217632869,0.00015676471516759625,False
1,Atkinson,1,0.0,0.0,0.0,0,0,-0.5222813879999999,-0.880570347,0.0,-0.09615384615384623,-0.591304347826087,-0.1754385964912281,0.0,-1.0,-1.0,-0.056769122091310756,-0.1561873964426877,-0.10800311128133695,-0.007967794372213606,0.20122401804543,-0.09323305650766614,-0.0948473936378432,-0.3186289128475049,-0.335113697257545,0.025656597484794617,0.10480968489583331,0.33831835646687697,0.01252952690582948,-0.27397400482315126,-0.4269185672588833,-0.5272065973995271,0.0,0.0,0.0007999664372,0.022579408449999998,0.424246919,0.006643122057999999,0.017784130260000003,0.6404537661,5.755214696407636e-05,False
2,Bacon,1,0.0,1.0,0.0,0,1,0.0,0.0,-0.73992178075,-0.08111812698113202,-0.49793052298969065,0.014598734791666674,0.0,0.0,-0.9415399386470588,0.006038737142857046,-0.09611465430690262,-0.20256114192249627,0.02561339158272268,-0.13671337049721508,-0.17880627094238274,-0.01715264231907976,-0.06345279253665739,-0.2025592495445588,-0.011055749001321937,0.06494658579881674,0.24121360689655189,-0.18055118894736846,-0.6524659060267858,-0.7296957046875,0.08771144397641119,3.8175876268656723,0.0,0.0025822269680000004,0.015569527409999999,0.359951946,0.009458381847,0.01303918495,1.5845110109999998,9.088348636654504e-05,False
3,Baker,1,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0.01645583350649344,-0.2884809165454546,0.5653419835999998,0.0,-0.753178649,-0.9451508108888889,0.0,0.0,0.0,0.03303245560822557,-0.05361183019008236,0.08259783745346787,0.06904591346713877,0.9109407478848413,0.34521502172289836,-0.004814992872947779,-0.002122137349397569,0.043121695214105714,0.007161736111111194,0.007161736111111194,-0.05959538184438042,0.0,0.0,0.0,0.0,0.03263204025,0.414119313,0.009148728895,0.01047766675,0.0,0.0,False
4,Baldwin,0,1.0,1.0,2.0,1,1,0.0,0.35763001400000016,0.35763001400000016,-0.11764705882352951,-0.48275862068965514,0.0714285714285715,-0.12092022704714647,-0.02405193250688713,0.003595321529744962,-0.050939544817073294,-0.22435590705980066,-0.19839013914163095,-0.022523077050707958,-0.06235276145639926,-0.22780028360980273,0.06298631238565329,0.22397405951804072,0.22066767966652553,0.015914262012963344,-0.000778806539509815,0.5153478429752064,-0.2346403225675677,-0.6800191179096046,-0.7526785321834062,0.7835230561450901,25.79420289855073,23.326315789473682,0.009244,0.005663661612999999,0.36671417799999995,0.010609325159999999,0.009540045265,0.9338754879,3.0062666386182466e-05,False
5,Banks,1,0.0,1.0,0.0,0,1,-0.07637262249999999,-0.261098098,0.23150317,-0.14285714285714285,-0.48780487804878037,0.40000000000000013,-0.5978301324675325,-0.8659433774891775,0.5483539900000001,-0.0856651617021276,-0.35753548737541524,0.06253746318681326,0.013393785823286488,0.19301957651313884,-0.07926171646633438,0.057387413472512784,-0.055404837698186674,0.16942736903082115,-0.07472066756690855,-0.2081570334572489,0.11521339267015714,-0.16404323591549294,-0.027001143442622905,-0.5537373665413534,0.6584294343767162,8.221374045801527,16.66081871345029,0.00604,0.01187058605,0.21300575800000002,0.00883426891,0.01187538629,0.3867636366,0.00019794315299768395,True
6,Barrow,0,1.0,1.0,1.0,0,2,-0.07890303538461542,0.19742605399999996,0.33047339333333325,-0.1276595744680852,-0.5232558139534884,-0.023809523809523996,0.19793254374999997,0.34168444899999995,0.43240332633451956,-0.024519441843971545,-0.15271401211498975,-0.05468894364261163,-0.01347479697780466,-0.09514053882413154,-0.24819714183791988,0.0083503387551176,0.10394184263479285,0.10722154911919966,0.02333794917833977,0.08252448529411775,0.29902938235294113,-0.3068795487804877,-0.7186342722772278,-0.7708230766129033,0.5609569865105622,7.436038514442915,7.824460431654676,0.0061329999999999996,0.0056835877,0.220834995,0.007789506864,0.01391982117,0.8252565522,0.0001507276983497602,False
7,Bartow,0,1.0,1.0,1.0,1,2,0.03900033285714278,0.2834709994117646,1.7273758737499998,-0.19906320156862756,-0.5873961947474748,-0.16637190367346957,-0.04161823144927538,-0.17545708192019951,0.42211488236559136,-0.0373956425655978,-0.1779917976763486,-0.14017371197916675,-0.03624576626445432,-0.018326324603662507,-0.27214837143934467,0.01810769796777722,0.15276541767229884,0.10662765744807477,-0.04636929133809772,-0.189968020920502,0.15236692261904763,-0.12310181716417913,-0.3749768271276596,-0.6257823041401273,0.6809756097560974,13.701365187713309,17.329787234042552,0.008615,0.01175043565,0.193597643,0.008703799453,0.01212516231,0.9905198838,0.00020836800890303243,True
8,Ben Hill,1,0.0,1.0,1.0,1,1,-0.11341874799999996,-0.11341874799999996,-0.11341874799999996,-0.024691358024691377,-0.43165467625899284,0.14492753623188398,-0.021594549122806915,-0.0627040218487394,3.1310452370370374,0.07478375426278834,0.19194594327030026,0.5039430217543859,-0.041162186821835596,-0.13256610578217423,-0.3435344904817284,0.0124952046569435,0.11840443051245467,0.15470985334820792,0.03172686490598101,0.11299537193763923,0.5329292085889571,-0.33030530419161674,-0.6005749492857143,-0.8009981953736655,0.0779840848806366,10.952941176470587,9.288607594936709,0.004064,0.01118390142,0.499734922,0.01311090128,0.01308123386,2.143118806,5.173536715613838e-05,False
9,Berrien,1,1.0,1.0,1.0,0,1,-0.2796872290000001,-0.6398436145,-0.2796872290000001,-0.17283782241935478,-0.4972151469607842,0.19265244209302343,-0.3600901158139535,-0.6644374997560976,-0.6012155794202898,-0.095685296791444,-0.47043784081419626,-0.4972046100099109,0.008768283636114102,0.2469715839054101,-0.19250847217569378,0.005413817142602947,0.2047880494018666,0.043845348293371444,0.011754860938420805,0.04957389972144845,0.29483515463917503,-0.06528947281553388,0.34965211635514026,-0.34208302300683374,0.7688486265341905,9.472318339100346,20.85198555956678,0.006052999999999999,0.02888255529,0.37679703,0.01144231326,0.013978558900000002,0.5073205485,3.7747459273284845e-05,False
