,County,Rural,Rehab_Count,EMS_COUNT,hospital_count,dropbox_247availability,dropbox_count,1yrlag,5yrlag,10yrlag,UR_1yrlag,UR_5yrlag,UR_10yrlag,CR_1yrlag,CR_5yrlag,CR_10yrlag,PR_1yrlag,PR_5yrlag,PR_10yrlag,BR_1yrlag,BR_5yrlag,BR_10yrlag,DR_1yrlag,DR_5yrlag,DR_10yrlag,CP_1yrlag,CP_5yrlag,CP_10yrlag,TP_1yrlag,TP_5yrlag,TP_10yrlag,ER_1yrlag,ER_5yrlag,ER_10yrlag,drug_ER_Visits_2018,teenage_pregnancy_2018,2018_children_poverty,2018_death_rate,2018_birth_rate,2018_prescription,2018_ODRate,2018ODabovenatavg
0,Appling,1,0.0,1.0,0.0,1,1,-0.005109493911015135,1.8801821430000003,0.44009107150000015,-0.16363636363636366,-0.5740740740740742,-0.3428571428571429,0.0,-1.0,-1.0,-0.022174262610186006,-0.07415804199066893,-0.035143632090761906,-0.015469167838235962,-0.07681218439066666,-0.16910591923362803,0.016405946473740836,0.16987503086394554,0.11533645536614684,0.007867115104843907,-0.07188410173697259,0.19498628434504797,-0.07485809400218528,-0.20591317601351358,-0.49775705149572647,0.34499506745211544,8.635184103505845,10.361171807086615,0.0057714752780000005,0.02350496999,0.374030707,0.01197585112,0.01322071307,1.1906327579999998,0.0001556350450124284,False
1,Atkinson,1,0.0,0.0,0.0,0,0,-0.41634961880028243,-0.72117935,0.0,-0.1063829787234042,-0.5531914893617021,-0.4939759036144578,0.0,0.0,-1.0,-0.07285322917863005,-0.1986577043184885,-0.10841645480480468,0.010143436162618183,0.2060328791495742,-0.08139537239469684,-0.0541406451454364,-0.3432194445191707,-0.1136530864845083,0.02501480040212147,0.1324462786458333,0.24959589367816098,-0.2719332290567602,-0.6150042857142857,-0.5707750130548301,0.1217648667123356,0.0,0.07213171302270001,0.0008973742438,0.016439317000000002,0.434859371,0.006283459144,0.01796452245,0.5937946411,3.350153199936637e-05,False
2,Bacon,1,0.0,1.0,0.0,0,1,0.0,-0.653229041,-0.47984356149999996,-0.08827916771785788,-0.4776296642352941,-0.2838471203225806,0.28819186011137815,0.0,-0.9542774222142858,0.028040770112389035,0.16853796269727386,-0.036699041986989894,-0.007580322725616413,0.020100053611692092,-0.20642589801869818,-0.04564878421956999,-0.13637637334390318,-0.2731849698085644,-0.011179347812166205,-0.024855019178082294,0.1943889865771811,-0.15558647261471367,-0.27363980331491716,-0.7752629135042736,0.09966596476193229,3.550620368589743,0.0,0.0028395871099999997,0.01314711956,0.35592791799999995,0.009026618214999999,0.012940343719999999,1.62894192,9.029404293410632e-05,False
3,Baker,1,0.0,1.0,0.0,0,1,0.0,0.0,0.0,0.016189423056115988,-0.2496773739622641,0.24272184937500002,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0199954049884246,0.15214608462429882,0.3387464049695849,0.05854410619738882,0.294601642174929,1.4262482405945915,-0.004838286786204486,-0.04602850694444453,0.12908406849315074,0.006826660187145351,0.01403728703703711,-0.053175559077809825,0.0,0.0,0.0,0.0,0.0328548081,0.412115685,0.009684333051,0.01068717194,0.0,0.0,False
4,Baldwin,0,1.0,1.0,2.0,1,1,-0.3511753792149148,-0.8238272442,-0.8238272442,-0.13333333333333322,-0.4901960784313725,-0.33333333333333326,0.019043880983048746,-0.15055104000000002,-0.26919876923076924,-0.05367365655213278,-0.252325739678511,-0.036258477971646774,-0.02293610993679077,-0.10989905379666925,-0.26661192040824133,0.07636142900534883,0.4217084657754755,0.22971097906179122,0.015664962918341446,-0.07348571641791048,0.3643177362637362,-0.30657523465288283,-0.6832803850806451,-0.807484155637255,0.43931198615318046,60.313364055299544,62.66028708133972,0.013305,0.0039273232249999995,0.372458742,0.01141946839,0.009321233738,0.8837509756999999,1.9498489884009208e-05,False
5,Banks,1,0.0,1.0,0.0,0,1,0.08434637863471085,0.0,0.33537600266666673,-0.16666666666666663,-0.5569620253164557,-0.22222222222222213,-1.0,-1.0,-1.0,-0.09369123663886857,-0.4118669912751677,0.685227275,0.010147523377953237,0.36097493281498305,-0.05886257354601911,0.022994627746734532,0.24118289021230963,0.08409622539301462,-0.08075471368243503,-0.28538489416058394,-0.0892812139534885,-0.0947493860254692,-0.5047992944700461,-0.5882814057471265,0.3970198675496687,24.883435582822084,24.263473053892216,0.008438,0.01074585531,0.19580453899999997,0.009037409635,0.01199589205,0.35052727320000004,0.00021208591353993962,True
6,Barrow,0,1.0,1.0,1.0,0,2,0.03543924809239212,0.5498274162500001,0.03321827750000006,-0.14634146341463394,-0.5270270270270271,-0.4444444444444444,0.0356358911632582,0.20476581213872835,0.11755756300268098,-0.02513575656527824,-0.13493214580645166,-0.15225173403582723,-0.013658847170376345,-0.08542407364306306,-0.2635429407394332,0.00996718102384865,0.09340968555182921,0.19331410462306609,0.02280571066193547,0.10181119024390237,0.4478929102564101,-0.42159941263860506,-0.7793697675167786,-0.8652708826229508,0.359367356921572,11.945652173913043,24.495412844036693,0.008337,0.0032873904639999997,0.22587129399999997,0.007867146289,0.013729692460000002,0.8045131044,0.00015164651822407047,False
7,Bartow,0,1.0,1.0,1.0,1,2,0.06994474453853229,0.7957793738461537,0.4590707412499999,-0.2485379642468824,-0.6471775465517242,-0.5676682612676056,-0.0391291233163858,-0.1113175107692309,-0.05162988089552253,-0.032339225919535156,-0.1665328369565216,-0.14497124219446914,-0.037608930778923216,-0.07702073673200843,-0.2929355162953405,0.013616037988921324,0.05917091535657942,0.12201143532525713,-0.04862394941450811,-0.2748655078740157,0.023245338888888998,-0.14183459572411694,-0.3697614150000001,-0.6461818470175439,0.4051073708647708,20.12565445026178,21.926136363636363,0.012105,0.010083817359999999,0.184184161,0.008822310717000001,0.011669147920000001,0.9584872375000001,0.00022085188675004749,True
8,Ben Hill,1,0.0,1.0,1.0,1,1,0.0,-0.704472916,0.0,-0.025316455696202556,-0.384,-0.28703703703703715,-0.06904574417034781,0.1667076617977528,0.0,0.04292809140698665,0.23147041652892567,0.4448085365223013,-0.042929248571663296,0.14069157667629884,-0.3347470399274787,0.03135612199499383,0.11055047956923181,0.21454403935779917,0.030751222945351812,0.17068723181818188,0.5284937151335312,-0.49321774029013216,-0.7828428032950191,-0.8893007258984374,0.07234251968503937,5.362043795620439,10.032911392405062,0.004358,0.005667802834,0.515102382,0.0135220083,0.012519666320000001,2.235118806,5.2057825044380525e-05,False
9,Berrien,1,1.0,1.0,1.0,0,1,-0.2953029455589091,-0.873099428,-0.49239771200000004,-0.20895276276243122,-0.5774155205208333,-0.42045557100000003,-0.26877504025819404,-0.6130677421153846,-0.6407057605357143,-0.10580973264086106,-0.36906662461752443,-0.5454498027054109,0.008692068393401949,0.2697371405147029,-0.18883741821397615,0.05398992109048419,0.10691847000566311,0.06431809665366309,0.011618289560297352,0.07676487853107357,0.14811676807228918,0.03554726407311586,0.33523442455357144,-0.21291444447368418,0.4346604989261523,14.024221453287195,30.35018050541516,0.008683999999999999,0.02990925111,0.381174767,0.01206008285,0.01410006149,0.4536410969,2.6476458669814127e-05,False
