,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
49,Johnson,0,0,1 ,0,0,1 ,1 ,0,0,0,0,1 ,0,0,0,2 ,1 ,0,7 ,1
50,Jones,0,1 ,1 ,5 ,1 ,2 ,1 ,1 ,2 ,0,2 ,0,3 ,2 ,1 ,2 ,3 ,3 ,30 ,1
51,Lamar,1 ,0,1 ,0,0,1 ,2 ,2 ,1 ,1 ,1 ,2 ,1 ,0,1 ,0,4 ,2 ,20 ,1
52,Lanier,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,1 ,0,0,0,3 ,1
53,Lee,0,0,0,1 ,1 ,3 ,1 ,0,2 ,2 ,3 ,2 ,0,3 ,2 ,1 ,3 ,1 ,25 ,1
54,Lincoln,0,0,0,0,1 ,0,0,0,0,0,1 ,1 ,1 ,0,0,0,0,1 ,5 ,1
55,Long,0,0,0,0,0,0,0,0,0,1 ,2 ,0,0,0,0,2 ,1 ,1 ,7 ,1
56,Lumpkin,0,1 ,1 ,1 ,0,0,2 ,0,3 ,0,5 ,3 ,3 ,1 ,6 ,3 ,2 ,3 ,34 ,1
57,McDuffie,1 ,0,0,0,0,1 ,0,0,1 ,0,1 ,0,0,2 ,1 ,0,0,0,7 ,1
58,McIntosh,0,0,0,0,0,0,1 ,1 ,1 ,0,1 ,1 ,0,1 ,0,2 ,1 ,1 ,10 ,1
59,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,Madison,0,1 ,3 ,2 ,3 ,2 ,2 ,2 ,1 ,0,5 ,3 ,4 ,3 ,7 ,8 ,3 ,3 ,52 ,1
61,Marion,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,1 ,1 ,0,1 ,5 ,1
62,Meriwether,0,0,0,1 ,1 ,0,1 ,1 ,2 ,3 ,0,2 ,1 ,4 ,2 ,4 ,2 ,0,24 ,1
63,Miller,0,0,0,0,0,0,0,1 ,0,0,0,1 ,0,1 ,0,0,0,0,3 ,1
64,Mitchell,0,0,0,0,0,2 ,1 ,0,1 ,0,1 ,2 ,0,0,2 ,2 ,2 ,0,13 ,1
65,Monroe,0,1 ,2 ,0,2 ,0,1 ,2 ,0,1 ,0,1 ,1 ,2 ,2 ,3 ,1 ,1 ,20 ,1
66,Montgomery,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1 ,0,1 ,0,0,4 ,1
67,Morgan,0,0,0,0,0,0,0,2 ,0,0,1 ,1 ,2 ,1 ,1 ,3 ,1 ,0,12 ,1
68,Oconee,0,0,0,0,1 ,1 ,0,1 ,0,1 ,1 ,2 ,6 ,1 ,3 ,2 ,2 ,0,21 ,1
69,Oglethorpe,0,0,0,0,0,0,0,0,3 ,1 ,0,0,2 ,2 ,0,2 ,3 ,0,13 ,1
70,Peach,0,0,1 ,0,0,1 ,0,0,0,2 ,1 ,0,2 ,0,2 ,0,2 ,1 ,12 ,1
71,Pickens,0,1 ,1 ,1 ,0,0,1 ,0,2 ,3 ,3 ,8 ,2 ,3 ,3 ,3 ,1 ,4 ,36 ,1
72,Pierce,0,1 ,0,1 ,0,0,2 ,0,1 ,0,3 ,1 ,1 ,1 ,2 ,3 ,1 ,3 ,20 ,1
73,Pike,2 ,1 ,0,0,0,0,0,0,1 ,0,0,1 ,1 ,0,0,1 ,0,1 ,8 ,1
74,Pulaski,0,0,0,0,1 ,0,0,0,1 ,0,0,0,1 ,0,0,0,0,3 ,6 ,1
75,Putnam,0,0,0,1 ,1 ,1 ,1 ,0,0,0,2 ,1 ,2 ,3 ,5 ,2 ,2 ,1 ,22 ,1
76,Quitman,0,0,0,0,0,0,1 ,1 ,0,0,0,0,0,0,0,0,0,0,2 ,1
77,Rabun,0,0,0,2 ,1 ,2 ,0,1 ,3 ,0,3 ,2 ,1 ,0,2 ,3 ,0,1 ,21 ,1
78,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,Schley,0,0,0,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1
80,Screven,0,0,0,0,0,0,0,1 ,0,0,0,2 ,0,0,0,0,0,0,3 ,1
81,Seminole,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,1 ,0,0,3 ,1
