County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Fannin,61.8,46.7,59.4,36.1,39.5,30.2,42.7,71.8,84.5,80.1,76.6,58.9,71.6,98.8,257
Fayette,13.6,12.3,10.1,16.7,22.1,21,22.8,20.9,30.9,27.8,23.3,24,31,64.1,203.4
Floyd,62.6,70.6,68.1,55.1,36.8,28.3,20.9,36.3,34.3,45.8,31.2,33.4,35.4,121.2,358.3
Forsyth,23.3,21.2,17.7,21.8,25.8,33.1,26.5,27.9,30.6,39,39.9,48.1,38.7,96.5,263.8
Franklin,57.3,66.1,42,32.2,63.8,54.1,80.9,63.2,90.7,59.5,68.5,100,35.9,130,313.6
Fulton,30.1,27.8,32.2,32.4,30.5,32.6,36.1,35,33.6,41.4,38.4,42.6,53.5,173.2,558.2
Gilmer,72.2,58.7,57.3,100.7,72.3,78.6,67.3,74.5,60,134.2,67.4,52.5,41.6,139.5,359.9
Glascock,0,0,0,0,0,0,0,0,0,0,0,257.9,257.9,257.9,166.3
Glynn,38.9,41.2,43.4,60.6,53.4,62.7,89.7,82.3,76.4,94.5,107.4,90.8,74.2,224.9,508.9
Gordon,36.2,45.7,32.4,33.6,30.7,41.2,44,78.3,56.1,70.1,53.8,46.6,57.1,137.9,388.4
Grady,21.1,21.1,21,21,20.5,24.4,24.3,24.3,27.9,19.8,19.8,35.6,35.5,103.2,233.8
Greene,53.4,53.4,53.4,58.1,44.9,44.9,63,63,31.2,37.4,62.1,55.1,48.5,305.2,758.7
Gwinnett,17.6,19.1,17.3,15.8,20.4,22.5,19.7,20.3,23.1,27.2,27.1,21.1,26.4,67.4,210.1
Habersham,26.7,47.3,39,69,64,52.5,49.4,51.2,53.4,71.6,62,69.3,89.1,140.9,411.3
Hall,20,15,28.1,18,27.6,37.1,32.7,40.9,38.8,45.3,38.3,41.5,42.5,154.5,401.2
Hancock,0,0,0,0,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,81.9,370.4
Haralson,67.5,33.1,39.8,32.2,24.9,56,34.9,52.1,31.3,27.9,38.7,87.7,48.9,142.1,537.2
Harris,23.7,26.7,26.7,26.7,17.1,23.1,26,34.9,18.7,18.7,18.4,36.7,15.2,30,109.9
