County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Habersham,121.2,137.7,134.6,144.6,137.7,137.8,127.4,121.2,118.3,108.0,101.8
Hall,100.4,110.0,102.0,107.4,110.0,103.9,103.9,101.6,98.9,97.0,94.5
Hancock,–,49.1,16.7,47.1,49.1,47.9,53.7,52.5,53.8,55.0,53.7
Haralson,144.6,238.0,210.9,216.5,238.0,236.3,241.9,222.8,203.6,205.1,193.7
Harris,6.4,7.5,8.1,7.3,7.5,5.2,7.7,5.3,8.4,9.0,7.8
Hart,72.9,114.1,108.0,113.9,114.1,105.8,124.0,120.4,109.0,104.8,103.5
Heard,–,–,–,–,–,–,–,–,1.2,0.6,0.6
Henry,79.3,88.2,87.8,87.9,88.2,86.9,89.5,88.1,85.8,81.9,78.6
Houston,112.6,125.8,123.2,125.8,125.8,123.1,114.6,107.1,104.9,99.3,93.5
Irwin,78.1,70.0,77.7,73.6,70.0,69.4,57.9,66.2,82.2,61.3,57.2
Jackson,96.9,122.5,106.7,117.8,122.5,120.5,120.9,121.8,119.2,109.3,116.6
Jasper,46.8,54.3,60.1,55.3,54.3,54.4,57.3,55.6,64.9,60.8,58.8
Jeff Davis,127.1,154.4,143.5,143.0,154.4,146.5,115.0,106.3,110.8,104.1,91.7
Jefferson,125.8,119.1,100.4,112.6,119.1,112.8,133.2,135.9,128.0,129.0,125.1
Jenkins,50.2,38.2,41.4,38.9,38.2,37.0,36.0,35.5,38.0,38.0,31.1
Johnson,48.0,35.7,40.7,34.3,35.7,35.1,39.6,41.6,45.3,42.1,33.8
Jones,31.5,50.2,31.2,50.0,50.2,47.7,48.3,50.9,55.5,53.9,53.8
Lamar,70.4,87.3,81.4,85.6,87.3,92.5,97.2,98.3,77.9,72.1,75.6
Lanier,–,–,–,–,–,–,–,–,3.3,16.4,79.5
Laurens,168.4,161.5,167.3,160.6,161.5,159.6,169.0,161.2,144.7,131.5,122.8
Lee,35.0,36.1,37.5,38.4,36.1,40.1,49.7,53.3,53.4,55.0,52.4
Liberty,50.9,56.8,52.9,52.3,56.8,56.5,59.3,60.5,60.0,58.0,55.0
Lincoln,–,–,–,–,–,–,–,–,6.8,2.7,26.9
Long,–,–,–,–,–,–,–,–,0.3,0.0,0.1
Lowndes,90.3,105.5,103.3,104.9,105.5,106.1,120.7,112.2,103.8,91.4,92.7
Lumpkin,62.8,65.8,61.8,61.2,65.8,73.9,90.8,86.5,84.7,79.4,83.1
McDuffie,129.8,175.2,168.1,181.4,175.2,178.7,170.8,180.7,178.6,172.2,163.2
McIntosh,73.7,76.4,61.1,68.5,76.4,85.9,98.9,85.8,74.7,71.6,75.2
Macon,62.8,62.5,60.4,57.0,62.5,56.5,60.0,59.7,71.7,74.9,68.0
Madison,90.5,91.8,102.1,95.8,91.8,98.1,126.3,129.0,128.0,115.9,103.6
Marion,–,–,–,–,–,–,–,11.6,20.9,19.9,19.4
Meriwether,47.2,31.8,31.8,32.6,31.8,32.2,46.7,70.1,77.9,77.0,82.8
Miller,131.9,150.2,140.3,149.3,150.2,137.9,140.1,134.8,128.1,115.5,108.8
Mitchell,73.1,96.0,71.2,78.4,96.0,97.9,101.7,105.8,108.8,106.9,100.4
Monroe,77.7,62.4,75.3,68.4,62.4,61.4,64.6,65.7,69.7,66.1,67.8
Montgomery,–,–,–,–,–,–,–,25.3,37.3,27.6,36.9
Morgan,45.8,49.5,47.0,46.1,49.5,54.3,63.3,77.6,86.9,83.5,79.4
Murray,73.5,110.6,92.5,106.0,110.6,114.4,118.6,114.7,113.9,100.4,97.7
Muscogee,100.0,111.9,114.8,113.6,111.9,111.9,110.0,106.6,99.6,88.7,90.7
Newton,89.7,101.8,100.4,101.6,101.8,102.1,104.4,95.2,88.8,81.1,81.9
Oconee,73.1,65.4,76.2,73.5,65.4,63.4,64.6,61.5,61.5,64.3,63.2
Oglethorpe,–,–,–,–,–,–,–,34.0,48.4,42.4,40.3
Paulding,69.1,84.1,77.1,82.1,84.1,75.2,69.4,66.2,63.0,60.4,58.6
Peach,86.1,96.6,90.9,94.5,96.6,95.2,96.8,95.2,87.9,82.6,88.7
Pickens,119.1,138.0,135.5,128.3,138.0,145.3,148.1,132.4,132.9,127.6,122.0
Pierce,51.1,38.2,46.8,38.6,38.2,45.9,48.2,59.0,65.8,71.6,64.6
Pike,–,–,–,–,–,–,–,12.6,19.3,13.8,12.4
Polk,137.5,179.8,156.8,175.7,179.8,183.4,204.2,198.9,191.7,170.8,166.8
Pulaski,98.0,91.6,90.1,80.3,91.6,86.8,99.5,107.0,99.9,96.5,88.7
Putnam,63.7,57.2,56.4,55.6,57.2,51.5,74.3,73.2,76.3,72.8,67.9
Quitman,–,–,–,–,–,–,–,–,–,–,–
Rabun,142.6,157.5,164.0,146.4,157.5,151.8,163.0,164.8,157.6,146.9,134.0
Randolph,67.8,178.1,180.0,182.2,178.1,174.8,183.1,191.2,180.0,154.3,138.3
Richmond,89.9,107.4,100.4,104.8,107.4,107.8,110.4,107.5,102.0,92.9,86.8
Rockdale,95.6,89.5,92.8,91.3,89.5,87.3,85.6,81.2,79.6,80.3,79.3
Schley,–,–,–,–,–,–,–,–,1.3,21.2,3.2
Screven,60.1,49.0,48.8,45.2,49.0,44.5,44.2,39.6,43.6,43.7,58.1
Seminole,114.9,110.2,109.8,111.7,110.2,144.1,152.8,210.0,206.3,195.8,178.8
Spalding,124.6,155.1,134.6,141.2,155.1,161.6,164.2,162.3,147.8,144.1,136.7
Stephens,136.1,168.9,145.9,152.8,168.9,171.4,189.3,180.4,179.7,167.9,163.7
Stewart,73.4,75.5,72.7,70.3,75.5,84.9,68.8,72.5,64.0,59.6,61.9
Sumter,94.2,119.8,105.2,117.1,119.8,123.6,97.5,106.1,112.3,100.1,105.7
Talbot,–,–,–,–,–,–,–,–,–,–,–
Taliaferro,–,–,–,–,–,–,–,–,–,–,–
Tattnall,61.3,68.0,72.8,66.3,68.0,65.7,61.7,58.5,54.8,56.8,54.1
Taylor,–,42.7,42.5,40.6,42.7,45.2,47.7,44.3,44.9,42.2,72.9
Telfair,0.1,52.7,32.5,47.6,52.7,50.8,52.5,65.8,59.5,50.3,58.6
Terrell,–,47.2,–,30.2,47.2,50.1,57.1,50.8,41.1,48.9,51.3
Thomas,93.9,101.2,100.2,102.2,101.2,101.3,110.8,106.8,103.6,100.7,107.4
Tift,125.8,146.3,131.5,141.1,146.3,141.4,156.6,158.3,146.2,145.1,149.2
Toombs,190.8,205.0,183.2,190.9,205.0,201.0,189.3,180.7,186.4,155.9,152.8
Towns,69.9,100.2,91.3,97.3,100.2,106.3,116.2,125.0,120.4,117.6,111.0
Treutlen,–,–,–,–,–,–,–,31.6,39.6,64.7,76.6
Troup,74.8,117.0,90.3,103.9,117.0,117.9,139.8,125.2,113.2,101.5,98.9
Turner,80.9,71.4,73.3,70.8,71.4,70.7,79.3,79.7,85.5,94.2,84.2
Twiggs,29.9,–,–,–,–,–,–,–,1.6,0.9,1.3
Union,146.9,160.7,150.8,158.7,160.7,162.4,171.6,170.0,163.9,144.5,128.6
Upson,92.0,117.3,99.0,110.2,117.3,131.3,145.2,149.7,148.5,137.7,138.4
Walker,31.8,48.5,43.9,44.2,48.5,45.9,47.1,48.5,54.5,56.1,54.8
Walton,93.6,114.7,108.2,114.5,114.7,113.7,126.8,119.0,113.4,114.8,111.0
Ware,212.2,246.8,246.3,245.4,246.8,225.3,215.0,212.6,211.6,205.9,221.3
Warren,–,–,–,–,–,–,–,–,1.3,1.0,0.2
Washington,78.8,88.1,75.1,78.2,88.1,90.9,102.0,109.2,112.1,103.5,95.6
Wayne,130.7,169.3,135.6,145.8,169.3,167.3,167.2,153.1,148.0,152.0,144.0
Webster,–,–,–,–,–,–,–,–,7.8,51.7,60.0
Wheeler,–,–,–,–,–,–,–,31.0,41.7,44.0,32.9
White,63.3,74.9,65.5,66.2,74.9,85.9,94.4,96.2,95.6,92.4,100.9
Whitfield,72.5,102.9,84.5,95.8,102.9,99.1,106.7,104.1,102.6,97.0,93.4
Wilcox,–,–,–,–,–,–,–,–,3.5,2.1,3.5
Wilkes,118.1,155.2,145.0,156.7,155.2,158.9,170.5,173.1,157.0,148.4,138.0
Wilkinson,–,–,–,–,–,–,–,69.4,92.6,90.0,92.0
Worth, GA,73.5,99.5,86.5,91.8,99.5,95.6,96.2,97.9,97.7,96.2,95.4
