County,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ware,48.6,51.4,49.8,55.7,52.5,44.3,41.9,35.4,46.2,37,41.3,40.3,42.8,47.5,48.9,45.6,42.6,44.9,38.5,37.9,33.9,31.5,32.7
Warren,36.7,55,43.4,33.7,37.6,25.9,50.2,35.3,51.9,29.1,29.6,40.9,47.7,25.3,43.4,55.6,14.8,36.4,15.4,22.8,22.8,22.8,22.8
Washington,31.9,31.5,38,43.9,38.5,34.2,36,30.4,26.9,26.9,22.1,25.3,31.7,28.4,35.2,43.7,27.5,28.5,24.9,28.2,33.5,30.5,16
Wayne,43.5,49.7,40.3,33.7,44.2,39.4,41.2,36.3,41.2,38.3,32.7,54,46.8,52.4,57.9,42,34.1,40.4,30.9,25.5,26.2,19.1,23.2
Webster,41.7,41.7,62.9,55.6,55.6,55.6,55.6,55.6,60.8,60.8,29.2,27.8,48.8,48.8,48.8,48.8,0,0,0,27.9,27.9,0,0
Wheeler,34.6,44.7,43.3,35.6,49.4,32.8,42.5,25.4,34.9,35.6,44.2,52.1,40.3,45.1,45.5,35,38.6,22.3,17.3,23.1,28.3,19.8,19.8
White,26.5,29.9,34.9,29.3,32.7,30.9,28.3,24.9,30.1,26.8,23.8,24.2,22,18.6,22.8,15.1,18.6,13,9.8,14.6,10.3,14.1,15.3
Whitfield,51.8,52.4,50.6,48,50.3,57.1,53.9,55.8,48.6,44.2,46.9,46.2,43.1,42.4,33.6,27.9,28.1,23.6,23.2,20.7,20.7,19.2,17.9
Wilcox,47.3,66.4,48.3,57.5,52.3,35.3,22.3,55.6,27.3,27.5,26.4,30.8,41.9,40.6,34.4,42.1,19.9,34.8,21.3,46,34.5,13.7,36.4
Wilkes,42.2,33.7,42.6,47.6,35.7,39.6,31.8,35.9,21.9,32.5,35.6,29.9,29,25.4,20.6,30.2,25.3,16.4,26.7,10.5,22.9,19,17.6
Wilkinson,25.6,30.3,28.5,43.4,35.6,40.3,34.4,40.9,25,40.1,20.7,37.4,29.7,32.2,24.5,17.3,19.4,21.3,20.6,11.8,33.2,8.9,8.5
Worth,38.3,41.8,36,37.2,35.9,39.7,37.6,33.7,28.2,30.4,36.1,26.5,24.2,34.9,33.6,31.9,25,31.7,24.4,19.3,29.4,17.3,19.7
