,County,Rural,Rehab_Count,EMS_COUNT,hospital_count,dropbox_247availability,dropbox_count,1yrlag,5yrlag,10yrlag,UR_1yrlag,UR_5yrlag,UR_10yrlag,CR_1yrlag,CR_5yrlag,CR_10yrlag,PR_1yrlag,PR_5yrlag,PR_10yrlag,BR_1yrlag,BR_5yrlag,BR_10yrlag,DR_1yrlag,DR_5yrlag,DR_10yrlag,CP_1yrlag,CP_5yrlag,CP_10yrlag,TP_1yrlag,TP_5yrlag,TP_10yrlag,ER_1yrlag,ER_5yrlag,ER_10yrlag,drug_ER_Visits_2016,teenage_pregnancy_2016,2015_children_poverty,2016_death_rate,2016_birth_rate,2016_prescription,2016_ODRate,2016ODabovenatavg
10,Bibb,0,1.0,1.0,7.0,0,1,-0.0666666666667,-0.222222222222,0.75,-0.0909090909091,-0.478260869565,0.132075471698,-0.0204962243797,0.0156599552573,0.0503181029497,-0.0583573487032,-0.209794437727,-0.0795774647887,0.019642769253,-0.00383822342682,-0.0705210836129,0.0267545911207,0.100573589203,0.0629764933769,-0.0234741784038,0.0749354005168,0.152354570637,-0.00526315789474,-0.292134831461,-0.425531914894,1.92965367965,11.1118568233,13.1727748691,0.005414,0.0189,0.416,0.01137446947,0.01467841985,1.307,9.16470280178e-05,False
11,Bleckley,1,1.0,1.0,1.0,0,1,-0.666666666667,0.0,0.0,-0.152941176471,-0.458646616541,0.142857142857,0.397849462366,3.64285714286,0.710526315789,-0.0840861709521,-0.0828114126653,0.022498060512,-0.0730580657516,-0.0919912369024,-0.154945045715,0.25858484456,-0.131207562385,0.0808842431519,-0.00314465408805,0.169741697417,0.288617886179,-0.365079365079,-0.358288770053,-0.387755102041,1.40423162584,4.65183246073,0.0,0.002159,0.012,0.317,0.01025163094,0.01001863933,1.318,7.7101002313e-05,False
12,Brantley,1,0.0,1.0,0.0,0,1,0.4,0.0,2.5,-0.0945945945946,-0.492424242424,0.313725490196,-0.510204081633,-0.724137931034,-0.803278688525,-0.146831530139,-0.212553495007,0.0,-0.0705455148723,0.0898679489791,0.117003411544,0.0894328381466,0.0712880794524,-0.0354157476392,0.0685358255452,0.0586419753086,0.350393700787,0.110236220472,0.114624505929,0.0641509433962,1.1678200692,2.13772954925,6.93037974684,0.003759,0.0282,0.343,0.01070535811,0.01130311923,0.552,0.000381367474803,True
13,Brooks,1,0.0,1.0,1.0,0,1,0.0,-0.5,0.0,-0.133333333333,-0.48,0.181818181818,-0.32,-0.585365853659,-0.609195402299,0.0329171396141,-0.20245398773,0.202113606341,-0.0375028926815,-0.066881083773,-0.190307789901,0.0153296929962,0.180745630214,0.274863205085,-0.0738095238095,0.0130208333333,0.0896358543417,-0.0150753768844,-0.348837209302,-0.561521252796,1.8638529612,10.1296296296,7.58571428571,0.004207,0.0196,0.389,0.01281111571,0.01128143026,0.91,6.37470516989e-05,False
14,Bryan,1,0.0,1.0,0.0,0,1,-1.0,0.0,0.0,-0.0576923076923,-0.478723404255,0.324324324324,-0.475609756098,-0.4625,-0.338461538462,0.0213963963964,0.185620915033,0.637184115523,-0.00981142222606,0.100836299304,0.0711723775497,0.0690168484087,-0.12822523584,-0.0837961034268,-0.0357142857143,-0.0299401197605,0.157142857143,-0.43956043956,-0.68125,-0.635714285714,1.78571428571,6.0,3.798828125,0.002457,0.0051,0.162,0.006733817794,0.01529137791,0.907,0.0,False
15,Bulloch,0,1.0,1.0,2.0,0,5,0.25,0.666666666667,0.0,-0.05,-0.457142857143,0.357142857143,-0.0352250489237,-0.312412831241,0.17661097852,-0.116788321168,-0.0970149253731,0.0858974358974,-0.0275720262975,0.028010568071,-0.0536651976186,0.00550447966397,0.0492297431964,0.0174602816265,-0.100574712644,-0.01261829653,0.282786885246,0.0373831775701,-0.223776223776,-0.556,1.73308270677,13.4437086093,4.39851485149,0.002181,0.0111,0.313,0.00717882854,0.01208638929,0.847,6.69146971441e-05,False
16,Burke,1,1.0,1.0,0.0,0,1,0.333333333333,3.0,1.0,-0.0617283950617,-0.40157480315,0.1875,-0.106382978723,-0.176470588235,-0.192307692308,-0.0420454545455,0.103403141361,0.170833333333,-0.0826530756168,-0.0504252908174,-0.231504950632,-0.0271095450876,0.0669816179568,0.0499276214395,-0.106132075472,-0.193617021277,-0.00524934383202,-0.141414141414,-0.435215946844,-0.58230958231,0.96542311192,4.63968668407,7.24427480916,0.00216,0.017,0.379,0.01087387189,0.01311908431,0.843,0.000176304654443,True
17,Butts,1,1.0,1.0,1.0,1,1,-0.333333333333,0.333333333333,0.0,-0.151515151515,-0.508771929825,0.037037037037,0.206349206349,0.0857142857143,-0.025641025641,-0.0448045757865,0.15838150289,0.170560747664,0.130370061457,-0.0794010173845,-0.18595706127,0.0235970929624,0.00282398524948,0.145834875503,-0.132258064516,0.144680851064,0.469945355191,-0.310734463277,-0.615141955836,-0.709523809524,2.43317610063,2.80069625762,18.7601809955,0.004367,0.0122,0.269,0.01051409268,0.0109363454,1.002,0.000167947264559,True
18,Calhoun,1,0.0,1.0,0.0,0,1,0.0,0.0,0.0,-0.0645161290323,-0.309523809524,-0.107692307692,-0.608695652174,-0.666666666667,-0.4375,1.2,0.0,0.0,0.0658799328669,-0.186086257151,-0.46260599267,0.0797225294917,-0.167588217498,-0.473462437252,-0.0514541387025,0.0341463414634,0.168044077135,0.0,-0.460966542751,-0.686825053996,0.366090712743,0.411830357143,0.0,0.001265,0.0145,0.424,0.007037297678,0.008601141606,0.022,0.000158127767236,False
19,Camden,0,0.0,1.0,1.0,0,2,-0.222222222222,-0.3,6.0,0.0363636363636,-0.40625,0.357142857143,-0.75974025974,-0.430769230769,-0.308411214953,-0.00404312668464,-0.171524663677,-0.150574712644,-0.0171249200727,-0.0687187352938,-0.0889401092312,-0.0617240220236,0.132013470755,0.344677937307,0.133333333333,-0.0422535211268,0.350993377483,0.0952380952381,-0.330097087379,-0.5,0.892690513219,3.54104477612,5.02475247525,0.002434,0.0138,0.204,0.006120264138,0.0145332588,0.739,0.000132055538787,False
20,Candler,1,1.0,1.0,1.0,0,1,-0.5,0.0,-0.5,-0.140350877193,-0.489583333333,0.113636363636,-0.230769230769,-0.230769230769,-0.411764705882,0.0553482587065,0.394412489729,0.305384615385,0.0639680531151,-0.104545601356,-0.262394140511,0.179845068101,0.090106789125,0.157084001116,-0.00688073394495,0.133507853403,0.247838616715,-0.0344827586207,-0.346303501946,-0.685393258427,1.66037735849,6.83333333333,2.10414902625,0.003666,0.0168,0.433,0.012542916,0.01199359121,1.697,9.16590284143e-05,False
21,Carroll,0,1.0,1.0,3.0,1,3,0.4,0.0769230769231,0.555555555556,-0.10447761194,-0.473684210526,0.176470588235,0.038961038961,-0.0733590733591,1.97213622291,-0.0226320201174,-0.154459753445,-0.0283333333333,0.013905186298,-0.0310805062935,-0.147182774096,-0.0425183211645,0.0159726762044,0.120272282896,-0.19512195122,0.0864197530864,0.411764705882,-0.0416666666667,-0.27802690583,-0.418772563177,2.02290622763,7.85324947589,12.5352564103,0.004223,0.0161,0.264,0.009058237714,0.01309374323,1.166,0.000240837426136,True
22,Catoosa,0,2.0,0.0,1.0,1,2,1.36363636364,1.6,12.0,-0.0769230769231,-0.414634146341,0.2,-0.0578947368421,0.467213114754,0.231651376147,-0.0637096774194,-0.329289428076,-0.160520607375,-0.0227326389019,-0.0243049725877,-0.0360857937175,0.0187010091487,0.286017355054,0.21614069565,0.037037037037,-0.0485436893204,0.173652694611,-0.0977443609023,-0.36170212766,-0.593220338983,1.56534508076,4.94217687075,7.20187793427,0.001747,0.012,0.196,0.009917230432,0.01068823463,1.161,0.00039157805958,True
23,Charlton,1,0.0,1.0,0.0,0,1,-0.666666666667,0.0,0.0,-0.09375,-0.452830188679,0.234042553191,0.885714285714,0.2,1.0625,0.04,0.326530612245,0.13413304253,0.052294540969,-0.0722200973206,-0.162981259448,-0.0424824803216,-0.102909372488,0.168939965424,0.108823529412,0.17445482866,0.196825396825,-0.0179640718563,-0.412186379928,-0.447811447811,0.0,0.0,2.64326375712,0.00192,0.0164,0.377,0.006351446718,0.009252724849,1.04,8.00192046091e-05,False
24,Chatham,0,1.0,1.0,7.0,0,3,0.206896551724,0.666666666667,0.944444444444,-0.103448275862,-0.48,0.268292682927,0.0815691158157,-0.201379310345,0.170485175202,-0.0330296127563,-0.149298597194,-0.129230769231,-0.0125296981455,-0.00538962580004,-0.103582165423,0.0116173682693,0.0282411160861,-0.0877737600859,-0.08,-0.08,0.114537444934,-0.0625,-0.414634146341,-0.590443686007,2.03360655738,6.50709939148,7.87529976019,0.003701,0.012,0.253,0.008612064533,0.01410099635,0.849,0.000121072913568,False
25,Chattahoochee,1,0.0,0.0,0.0,1,1,0.0,-1.0,-1.0,-0.0454545454545,-0.275862068966,-0.134020618557,-0.888888888889,0.0,-0.952380952381,0.0,0.0,0.0,-0.117828185467,-0.111169684647,0.391469000463,-0.0313021202825,-0.338842829354,0.0379205013024,0.09375,0.18932038835,0.237373737374,-0.208955223881,-0.25,0.314049586777,0.0,0.0,0.0,0.000824,0.0159,0.245,0.002233738385,0.01778055754,0.0,0.0,False
